,Company Name,Position,Location,Apply Link,Details
0,Aashman Foundation,Intership trainee,India,https://www.linkedin.com/jobs/view/3141369909/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=88jIWyMyc0TsanstlVW82Q%3D%3D&trk=flagship3_search_srp_jobs,"INTERNSHIP OPPORTUNITY FROM AASHMAN FOUNDATION:

LOCATION: Work From Home

PERKS: Certificate of Completion, Letter of Recommendation

DEPARTMENTS OPEN:

•HR (45 days, 3 months, 6 months, 9 months, 12 months)

•Social Media Marketing (45 days)

•Sales and Marketing (45 days)

•Fundraiser (30 days, 45 days)

•Social Work (3 months, 6 months, 9 months, 12 months)

•Online Event Management (3 months)

•Content Writing (Hindi/English) (3 months)

Graphic Designing (3 months)

•Summer Internship (30 days, 3 months)

Note: This is an unpaid internship."
1,Game changers 23,Freelance,India,https://www.linkedin.com/jobs/view/3141835925/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=JR5vOqFOky6L1oe1FV9jOA%3D%3D&trk=flagship3_search_srp_jobs,only Hindi speakers apply for this
2,Truelancer.com,React Developer,India,https://www.linkedin.com/jobs/view/3143648979/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=mWasiLwdIp9V%2F9NY1FxtXg%3D%3D&trk=flagship3_search_srp_jobs,"Join the Truelancer Enterprise Program and get a Remote Job.
You work with Top Enterprise Clients work on Projects from Worlds Best Technology Companies.

We are hiring Software Developers for our Client ( India's Top MNC )

Requirements:
Min. 2 Years of Experience.
Strong knowledge of ReactJs
Strong Frontend Development skills.
Experience with GIT / JIRA is a plus.
Strong Written and Verbal English communication.

This is a full-time remote job and you will work on projects of the worlds best technology companies.

Truelancer Enterprise is a network of vetted developers"
3,Heptagon Global Services,React js Developer,India,https://www.linkedin.com/jobs/view/3141899158/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=UpceLWk3PBoNb7Boxwsz2w%3D%3D&trk=flagship3_search_srp_jobs,"Skills and Responsibility

Thorough understanding of React.js and its core principles

Experience with popular React.js workflows (such as Flux material UI or Redux,PHP)

Familiarity with newer specifications of EcmaScript

Experience with data structure libraries (e.g., Immutable.js)

Knowledge of isomorphic React is a plus

Familiarity with RESTful APIs

Knowledge of modern authorization mechanisms, such as JSON Web Token

Familiarity with modern front-end build pipelines and tools.

If anyone interested share your resume on given mail l'd.
hr@heptagonservices.com"
4,AT&T,"SR TECHNICAL SPECIALIST, APPLICATION DEV (Release Management)","Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3135864485/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=XPZDQHVWgDZFVMfrw1gqgg%3D%3D&trk=flagship3_search_srp_jobs,"Job Summary:

We’re looking for an energetic self-starter and quick learner. Release Manager with attention to detail, planning skills and constant focus to meet our application availability and mean time to restore goals. Sr Release manager will work on mission critical application releases which will require planning, coordination with multiple teams, preparing change requests and executing changes. Ideal candidate will have familiarity with the technology, project management, agile development and excellent planning and communication skills.

Roles and Responsibilities:
Software Release Management with all aspects of a successful release throughout its lifecycle
Present complex technical information in a clear manner to peers, developers, and senior leaders
Define release plans to meet the needs of the business and delivery dates
Executes on release plans that enable all teams to complete deliverables and ensure a successful deployment
Monitor and provide approvals for code builds to staging environments
Coordinate with Product Management to identify defects that would prevent the release deployment
Create change request tickets an obtain approvals for production deployments
Create and maintain release wiki and workbook identifying features, user stories, and components
Conduct a release readiness review to obtain a Go/NoGo vote for deployment from the key stakeholders of the release
Host and drive the release deployments to ensure proper engagement from all needed teams
Provide release communications regarding the status of the release deployment
Conduct release retrospect after each release

Education Qualification: Bachelor’s/ Masters degree in Computer Science or related field is preferred.

Primary / Mandatory skills:
Overall Experience: 10+ years of Software Release Management experience within high tech industry with proven track record of managing all aspects of a successful release throughout its lifecycle
Strong analytical skills and ability to develop release contingency plans:
Process Management:
Jira or similar tools, Scaled Agile Framework, Excel :
Excellent written and verbal English communication skills to work in a Global team
Data Gathering and Reporting.

JobCategory:Technology"
5,Citi,Central Sourcing Team Lead,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3135491251/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=jdbu5sno%2FxPAocyH4FMioA%3D%3D&trk=flagship3_search_srp_jobs,"Job Id: 22507986

The Supply Chain (SC) Sourcing Lead Analyst is a senior level position responsible for leading procurement activities directly and leading a team to perform sourcing activities such as the negotiation of terms of price, quantity and delivery, analyzing comparable suppliers and agreeing on contracts in coordination with the business owner. The role will focus on higher volume sourcing and contracting tasks with an overall objective to acquire goods and services requested by company personnel in support of the company's business in the most efficient and effective manner.

Responsibilities:
Lead the Central Sourcing Team (Americas location), managing the intake of work and allocation to other teams based on agreed rules
Be a lead contributor to the development of procedures, tools, templates, metrics, reports, training that will govern the Central Sourcing Team, collaborating with colleagues around the world to deliver effective, efficient and compliant sourcing.
Ensure optimal performance of the team against Key Performance Indicators including qualitative and quantitative metrics e.g. cycle times, SLAs, error/ rework rates
Use metrics and feedback to see problems at an early stage and take actions to update procedures, tools, interaction with stakeholders and train team members to remove or minimize them, striving to continuously improve team performance and client satisfaction.
Perform simple financial modeling and lead development and execution of negotiation strategies for high volume lower complexity deals and a small number higher-value and complex multi-year deals
Develop contract requirements in collaboration with Sourcing Global Process Owners (GPO team)
Coach and train new recruits as well as serve in leadership role within team
Operate with a low level of direct supervision.
Exercise independence of judgement and autonomy.
Acts as SME to senior stakeholders and /or other team members.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Lead and/or participate in global category forums maintaining high level sourcing processes and team
Qualifications:
6-10 years of relevant experience
Bachelor’s degree/University degree or equivalent experience
Experience in sourcing or procurement in a large, multi-national organization
Experience in deal structuring, negotiations, and contracting
Microsoft Office Proficiency
Knowledge of Enterprise Resource Planning (ERP) systems and eProcurement tools (e.g Oracle Procure-to-Pay, eAuction, eRFx)
Demonstrated strategic sourcing/procurement, stakeholder management, relationship management, and influencing skills
Desirable
Certified Purchase Professional such as CPM or CIPS preferred
Experience in leading teams through change
Managing sourcing teams with qualitative and quantitative metrics e.g. cycle times, SLAs, error/ rework rates.
Education:
Bachelor’s degree/University degree or equivalent experience
Master’s degree preferred
-------------------------------------------------

Job Family Group:

Corporate Services

-------------------------------------------------

Job Family:

Supply Chain

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
6,Ingram Micro,Software Engineer,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3144868172/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=UVtE9qVVz%2B3OSUe3Y%2BHmcw%3D%3D&trk=flagship3_search_srp_jobs,"Description

Ingram Micro touches 80% of the technology you use every day with our focus on Technology Solutions, Cloud, and Commerce and Lifecycle Solutions. With $50 billion in revenue, we have become the world’s largest technology distributor with operations in 64 countries and more than 35,000 associates. Position Summary: Designs, develops, tests, debugs and implements operating systems components, software tools, and utilities. Determines systems software design requirements. Ensures that system improvements are successfully implemented and monitored to increase efficiency. Generates systems software engineering policies, standards and procedures. What you bring to the role: Entry-level professional individual contributor on a project or work team. Work is closely supervised. Problems faced are not typically difficult or complex. Explains facts, policies and practices related to job area. Works on projects of limited scope and complexity. Follows standard practices and procedures in analyzing situations or data from which answers can be readily obtained. Uses company standard policies and procedures to resolve issues in which answers can be readily obtained. Work is reviewed regularly by supervisor or more senior peers. Requires broad theoretical knowledge typically acquired from advanced education. Typically requires a four year college degree or equivalent experience and 0-2 years functional experience. *This is not a complete listing of the job duties. It’s a representation of the things you will be doing, and you may not perform all of these duties."
7,Ingram Micro,Software Engineer,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3144867185/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=qcAgDl7BCMEo0%2Fn6hv7NRw%3D%3D&trk=flagship3_search_srp_jobs,"Description

Ingram Micro touches 80% of the technology you use every day with our focus on Technology Solutions, Cloud, and Commerce and Lifecycle Solutions. With $50 billion in revenue, we have become the world’s largest technology distributor with operations in 64 countries and more than 35,000 associates. Position Summary: Designs, develops, tests, debugs and implements operating systems components, software tools, and utilities. Determines systems software design requirements. Ensures that system improvements are successfully implemented and monitored to increase efficiency. Generates systems software engineering policies, standards and procedures. What you bring to the role: Entry-level professional individual contributor on a project or work team. Work is closely supervised. Problems faced are not typically difficult or complex. Explains facts, policies and practices related to job area. Works on projects of limited scope and complexity. Follows standard practices and procedures in analyzing situations or data from which answers can be readily obtained. Uses company standard policies and procedures to resolve issues in which answers can be readily obtained. Work is reviewed regularly by supervisor or more senior peers. Requires broad theoretical knowledge typically acquired from advanced education. Typically requires a four year college degree or equivalent experience and 0-2 years functional experience. *This is not a complete listing of the job duties. It’s a representation of the things you will be doing, and you may not perform all of these duties."
8,GC Internships,Web development Training Program,India,https://www.linkedin.com/jobs/view/3141803485/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=hRy7%2BBbVYIptzq5%2BQfrZCA%3D%3D&trk=flagship3_search_srp_jobs,"Growth Central VC is offering Web development with Python training program!

The duration of this program will be 2 weeks.

You will learn:-
1)Easy and fast Python Django web app development
2)Powerful web application development along with all CRUD operations using Python Django web server and SQLite database from scratch to web development.

The recorded lectures will be made available to you once you pay the fee. Your program will start on the same day.

Perks-
-Certificate of Completion
-Letter of Recommendation (Performance based)
-Weekly live doubt and mentorship session where you ask your doubts and get mentorship from your mentor and instructor.

We look forward to facilitating your growth!"
9,GC Internships,Web Development Training Program,India,https://www.linkedin.com/jobs/view/3141391158/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=kwSG1B5j9y7%2BsGCEaveyyA%3D%3D&trk=flagship3_search_srp_jobs,"Growth Central VC is offering Web development with Python training program!


The duration of this program will be 2 weeks.


You will learn:-

1)Easy and fast Python Django web app development

2)Powerful web application development along with all CRUD operations using Python Django web server and SQLite database from scratch to web development.


The recorded lectures will be made available to you once you pay the fee. Your program will start on the same day.


Perks-

-Certificate of Completion

-Letter of Recommendation (Performance based)

-Weekly live doubt and mentorship session where you ask your doubts and get mentorship from your mentor and instructor.


We look forward to facilitating your growth!"
